Designator,Val,Package,MidX,MidY,Rotation,Layer
"C2","100nF","0603",40.000000,-9.500000,90.000000,top
"C5","100nF","0603",-9.500000,40.000000,180.000000,top
"C7","100nF","0603",9.500000,-40.000000,0.000000,top
"C11","100nF","0603",28.500000,-40.000000,0.000000,top
"C12","100nF","0603",40.000000,28.500000,90.000000,top
"C13","100nF","0603",40.000000,9.500000,90.000000,top
"C14","100nF","0603",-9.500000,-40.000000,0.000000,top
"C15","100nF","0603",-28.500000,-40.000000,0.000000,top
"C16","100nF","0603",-40.000000,-9.500000,270.000000,top
"C17","100nF","0603",40.000000,-28.500000,90.000000,top
"C18","100nF","0603",-40.000000,9.500000,270.000000,top
"C19","100nF","0603",-28.500000,40.000000,180.000000,top
"C20","100nF","0603",-40.000000,-28.500000,270.000000,top
"C21","100nF","0603",9.500000,40.000000,180.000000,top
"C22","100nF","0603",-40.000000,28.500000,270.000000,top
"C23","100nF","0603",28.500000,40.000000,180.000000,top
"D1","WS2812B","SK6812SIDE-A-RVS",-9.500000,42.500000,180.000000,top
"D2","WS2812B","SK6812SIDE-A-RVS",9.500000,-42.500000,0.000000,top
"D3","WS2812B","SK6812SIDE-A-RVS",-28.500000,42.500000,180.000000,top
"D4","WS2812B","SK6812SIDE-A-RVS",28.500000,-42.500000,0.000000,top
"D21","WS2812B","SK6812SIDE-A-RVS",-42.500000,28.500000,270.000000,top
"D22","WS2812B","SK6812SIDE-A-RVS",42.500000,-28.500000,90.000000,top
"D23","WS2812B","SK6812SIDE-A-RVS",-42.500000,9.500000,270.000000,top
"D24","WS2812B","SK6812SIDE-A-RVS",42.500000,-9.500000,90.000000,top
"D25","WS2812B","SK6812SIDE-A-RVS",-42.500000,-9.500000,270.000000,top
"D26","WS2812B","SK6812SIDE-A-RVS",42.500000,9.500000,90.000000,top
"D27","WS2812B","SK6812SIDE-A-RVS",-42.500000,-28.500000,270.000000,top
"D28","WS2812B","SK6812SIDE-A-RVS",42.500000,28.500000,90.000000,top
"D29","WS2812B","SK6812SIDE-A-RVS",-28.500000,-42.500000,0.000000,top
"D30","WS2812B","SK6812SIDE-A-RVS",28.500000,42.500000,180.000000,top
"D31","WS2812B","SK6812SIDE-A-RVS",-9.500000,-42.500000,0.000000,top
"D32","WS2812B","SK6812SIDE-A-RVS",9.500000,42.500000,180.000000,top
